time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-06T06:58:51.000Z,-13.9,166.6,33,6.9,Mi,6,273.6,6.53165043,1.01,at,at00o57a23,2016-04-06T07:06:23.076Z,"102km W of Sola, Vanuatu",earthquake,0,0,,4,reviewed,at,at
2016-04-06T06:44:46.350Z,19.439167,-155.6029968,2.12,1.84,ml,36,44,0.0126,0.38,hv,hv61223831,2016-04-06T06:50:28.820Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.53,0.56,0.3,3,automatic,hv,hv
2016-04-06T06:43:20.970Z,33.8188333,-117.1698333,0.54,0.74,ml,9,247,0.08305,0.33,ci,ci37328031,2016-04-06T06:47:52.759Z,"3km NW of Nuevo, CA",earthquake,3.45,31.61,0.11,13,automatic,ci,ci
2016-04-06T06:43:09.630Z,34.09,-117.3063333,15.86,1.06,ml,42,56,0.1082,0.17,ci,ci37328023,2016-04-06T06:47:30.745Z,"2km NNE of Colton, CA",earthquake,0.23,0.7,0.166,25,automatic,ci,ci
2016-04-06T05:55:58.930Z,19.8353329,-155.5561676,20.19,3.16,ml,60,109,0.09775,0.24,hv,hv61223741,2016-04-06T06:51:47.441Z,"24km SSE of Waimea, Hawaii",earthquake,0.41,1.05,0.34,30,automatic,hv,hv
2016-04-06T05:53:59.450Z,19.3921661,-155.2663269,1.19,1.71,md,10,137,0.006051,0.13,hv,hv61223736,2016-04-06T05:57:04.290Z,"5km SW of Volcano, Hawaii",earthquake,0.62,0.38,0.2,5,automatic,hv,hv
2016-04-06T05:53:58.150Z,19.4044991,-155.2776642,1.78,1.81,ml,23,44,0.008101,0.12,hv,hv61223731,2016-04-06T06:14:37.412Z,"5km SW of Volcano, Hawaii",earthquake,0.16,0.21,0.45,12,automatic,hv,hv
2016-04-06T05:20:31.800Z,18.9661,-65.195,19,3.3,Md,17,237.6,0.65127858,0.44,pr,pr16097001,2016-04-06T05:50:14.819Z,"74km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.8,5.8,0,15,reviewed,pr,pr
2016-04-06T05:19:58.860Z,33.6818333,-116.7873333,16.54,0.52,ml,12,82,0.07064,0.1,ci,ci37327999,2016-04-06T05:24:32.257Z,"9km SW of Idyllwild, CA",earthquake,0.32,0.53,0.24,8,automatic,ci,ci
2016-04-06T05:12:51.000Z,64.0555,-148.8741,10.1,2.7,ml,,,,0.91,ak,ak13341109,2016-04-06T05:39:19.123Z,"22km NNE of Healy, Alaska",earthquake,0.4,0.3,,,automatic,ak,ak
2016-04-06T05:11:46.480Z,19.3754997,-155.2371674,1.13,1.7,ml,17,143,0.003774,0.12,hv,hv61223626,2016-04-06T05:17:29.560Z,"6km S of Volcano, Hawaii",earthquake,0.21,0.24,0.97,3,automatic,hv,hv
2016-04-06T05:11:18.060Z,38.7908325,-122.7773361,2.11,0.99,md,17,110,0.008595,0.03,nc,nc72618240,2016-04-06T05:50:05.457Z,"2km NW of The Geysers, California",earthquake,0.24,0.46,0.12,6,automatic,nc,nc
2016-04-06T05:07:43.800Z,33.0586667,-116.437,3.35,0.82,ml,24,65,0.1366,0.17,ci,ci37327991,2016-04-06T05:11:50.088Z,"16km E of Julian, CA",earthquake,0.3,1.11,0.191,17,automatic,ci,ci
2016-04-06T05:02:41.000Z,63.0801,-149.8788,86,1.4,ml,,,,0.51,ak,ak13341106,2016-04-06T05:38:33.153Z,"58km SW of Cantwell, Alaska",earthquake,0.4,0.6,,,automatic,ak,ak
2016-04-06T04:42:46.370Z,19.4246674,-155.611496,1.94,2.03,ml,41,46,0.02658,0.34,hv,hv61223571,2016-04-06T04:48:29.280Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.41,0.6,0.25,5,automatic,hv,hv
2016-04-06T04:40:53.760Z,38.8213348,-122.7993317,7.1,0.57,md,8,181,0.01371,0.09,nc,nc72618235,2016-04-06T05:14:04.374Z,"6km W of Cobb, California",earthquake,1.14,1.7,0.15,4,automatic,nc,nc
2016-04-06T04:39:47.260Z,34.0161667,-116.7833333,12.95,1.03,ml,34,68,0.02776,0.16,ci,ci37327983,2016-04-06T04:44:11.565Z,"11km N of Cabazon, CA",earthquake,0.23,0.64,0.192,27,automatic,ci,ci
2016-04-06T04:25:14.820Z,38.8209991,-122.8089981,2.55,1.34,md,27,62,0.002536,0.02,nc,nc72618230,2016-04-06T07:04:05.643Z,"6km NW of The Geysers, California",earthquake,0.21,0.41,0.03,5,automatic,nc,nc
2016-04-06T04:24:12.240Z,35.6038333,-118.3126667,0.05,0.81,ml,7,164,0.09652,0.23,ci,ci37327975,2016-04-06T04:28:39.703Z,"15km E of Lake Isabella, CA",earthquake,1.34,31.61,0.155,8,automatic,ci,ci
2016-04-06T04:17:52.460Z,20.0456657,-155.4766693,43.91,2.34,ml,49,265,0.2032,0.24,hv,hv61223551,2016-04-06T04:24:13.015Z,"4km S of Honoka'a, Hawaii",earthquake,0.64,0.87,0.21,3,automatic,hv,hv
2016-04-06T04:07:59.000Z,62.0229,-148.9828,20,2.2,ml,,,,0.68,ak,ak13341098,2016-04-06T04:32:25.329Z,"26km NNW of Sutton-Alpine, Alaska",earthquake,0.3,0.9,,,automatic,ak,ak
2016-04-06T03:59:27.200Z,33.826,-116.7626667,16.29,1.69,ml,64,34,0.02986,0.19,ci,ci37327967,2016-04-06T04:10:35.140Z,"10km NNW of Idyllwild, CA",earthquake,0.17,0.48,0.214,27,automatic,ci,ci
2016-04-06T03:56:08.240Z,33.6241667,-116.6653333,13.27,0.72,ml,26,57,0.05104,0.12,ci,ci37327959,2016-04-06T04:00:46.543Z,"8km N of Anza, CA",earthquake,0.21,0.37,0.212,23,automatic,ci,ci
2016-04-06T03:50:42.000Z,61.9287,-149.9658,34,2,ml,,,,0.54,ak,ak13341092,2016-04-06T04:09:03.516Z,"20km N of Willow, Alaska",earthquake,0.4,0.3,,,automatic,ak,ak
2016-04-06T03:49:09.000Z,60.0036,-151.3619,55.6,1.7,ml,,,,0.36,ak,ak13341091,2016-04-06T04:09:02.671Z,"30km N of Fritz Creek, Alaska",earthquake,0.9,1.7,,,automatic,ak,ak
2016-04-06T03:16:56.000Z,62.0449,-149.096,24.5,1.8,ml,,,,0.81,ak,ak13339219,2016-04-06T03:47:02.054Z,"30km NNW of Sutton-Alpine, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-04-06T03:15:09.000Z,61.5423,-140.9771,0,1.7,ml,,,,0.51,ak,ak13339217,2016-04-06T03:47:01.356Z,"182km NNE of Cape Yakataga, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-04-06T03:03:08.440Z,38.8250008,-122.8450012,1.79,0.82,md,12,143,0.008013,0.01,nc,nc72618220,2016-04-06T03:19:05.046Z,"9km NW of The Geysers, California",earthquake,0.37,0.54,0.07,5,automatic,nc,nc
2016-04-06T02:27:14.360Z,33.5265,-116.4325,8.08,0.65,ml,20,90,0.006467,0.16,ci,ci37327895,2016-04-06T02:31:36.578Z,"19km SW of La Quinta, CA",earthquake,0.37,0.91,0.284,15,automatic,ci,ci
2016-04-06T02:11:47.830Z,33.5731667,-116.7076667,2.75,0.47,ml,20,56,0.02593,0.15,ci,ci37327887,2016-04-06T02:16:15.231Z,"4km WNW of Anza, CA",earthquake,0.27,0.19,0.177,13,automatic,ci,ci
2016-04-06T02:06:07.200Z,31.9299,71.9358,26.34,4.1,mb,,132,2.05,1.29,us,us20005fqw,2016-04-06T03:42:17.844Z,"35km WNW of Jahanian Shah, Pakistan",earthquake,10.4,5.7,0.14,14,reviewed,us,us
2016-04-06T02:03:21.680Z,34.0238333,-117.2425,16.52,1.06,ml,32,59,0.1647,0.15,ci,ci37327879,2016-04-06T02:07:54.911Z,"3km SSE of Loma Linda, CA",earthquake,0.24,0.72,0.199,26,automatic,ci,ci
2016-04-06T02:03:00.420Z,-1.5109,138.433,32.53,4.7,mb,,121,6.335,1.02,us,us20005fqu,2016-04-06T02:29:40.041Z,"269km WNW of Abepura, Indonesia",earthquake,9.7,5.9,0.106,27,reviewed,us,us
2016-04-06T01:59:17.000Z,57.0536,-158.0303,12.6,3.4,ml,,,,0.6,ak,ak13339211,2016-04-06T02:21:24.926Z,"99km NNE of Chignik Lake, Alaska",earthquake,0.8,0.5,,,automatic,ak,ak
2016-04-06T01:55:32.000Z,59.8644,-152.95,32.3,2.3,ml,,,,0.98,ak,ak13339210,2016-04-06T02:20:37.307Z,"63km W of Anchor Point, Alaska",earthquake,1.9,0.8,,,automatic,ak,ak
2016-04-06T01:34:42.140Z,33.5098333,-116.4465,6.64,0.54,ml,22,104,0.02202,0.17,ci,ci37327871,2016-04-06T01:38:51.792Z,"21km SW of La Quinta, CA",earthquake,0.33,0.94,0.151,12,automatic,ci,ci
2016-04-06T01:34:18.240Z,69.1934,-53.5279,10,4.7,mb,,44,0.865,1.05,us,us20005fqn,2016-04-06T01:53:07.773Z,"60km NNW of Aasiaat, Greenland",earthquake,5.1,1.9,0.039,201,reviewed,us,us
2016-04-06T01:28:51.490Z,33.9831667,-117.19,13.95,1.21,ml,44,51,0.03846,0.21,ci,ci37327863,2016-04-06T01:40:10.090Z,"7km NNE of Moreno Valley, CA",earthquake,0.28,0.64,0.17,29,automatic,ci,ci
2016-04-06T01:23:00.570Z,33.3186667,-116.3728333,5.02,0.71,ml,22,186,0.06254,0.22,ci,ci37327855,2016-04-06T01:27:17.263Z,"7km N of Borrego Springs, CA",earthquake,0.59,1.21,0.127,15,automatic,ci,ci
