time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-07T04:29:17.620Z,-20.0307,-175.1415,35.28,5.1,mb,,46,5.007,0.93,us,us10005fnq,2016-05-07T04:48:06.823Z,"86km WSW of Pangai, Tonga",earthquake,10.4,2.4,0.04,208,reviewed,us,us
2016-05-07T04:21:42.378Z,40.627,-119.4707,11.9,2.4,ml,7,105.91,0.698,0.2045,nn,nn00543201,2016-05-07T04:51:39.490Z,"9km WNW of Gerlach-Empire, Nevada",earthquake,,2.1,0.1,4,reviewed,nn,nn
2016-05-07T04:19:54.000Z,64.2463,-140.7087,0,1.6,ml,,,,1,ak,ak13524625,2016-05-07T04:50:31.014Z,"62km SSE of Eagle Village, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-05-07T04:11:52.670Z,18.3344,-105.2336,10,4.4,mb,,225,5.07,0.85,us,us10005fnm,2016-05-07T04:37:57.040Z,"112km SSW of San Patricio, Mexico",earthquake,11.5,2,0.052,105,reviewed,us,us
2016-05-07T04:08:59.000Z,62.316,-150.9508,58.9,1.7,ml,,,,0.6,ak,ak13524624,2016-05-07T04:50:27.532Z,"43km W of Talkeetna, Alaska",earthquake,0.5,0.9,,,automatic,ak,ak
2016-05-07T04:06:28.580Z,38.8190002,-122.8255005,2.23,0.56,md,8,82,0.008503,0.02,nc,nc72632015,2016-05-07T04:30:03.622Z,"7km NW of The Geysers, California",earthquake,0.91,0.53,,1,automatic,nc,nc
2016-05-07T03:50:07.050Z,38.8443336,-122.8263321,1.72,1.75,md,28,57,0.009166,0.03,nc,nc72632010,2016-05-07T04:18:03.610Z,"9km WNW of Cobb, California",earthquake,0.18,0.35,0.17,10,automatic,nc,nc
2016-05-07T03:49:53.330Z,38.8446655,-122.824501,1.83,1.81,md,27,47,0.01002,0.03,nc,nc72632005,2016-05-07T04:06:02.588Z,"9km WNW of Cobb, California",earthquake,0.16,0.36,0.32,9,automatic,nc,nc
2016-05-07T03:30:56.830Z,18.6274,-104.7413,10,4.3,mb,,231,4.596,1.03,us,us10005fnd,2016-05-07T04:07:22.696Z,"64km SW of Manzanillo, Mexico",earthquake,6.8,2,0.063,71,reviewed,us,us
2016-05-07T02:46:20.320Z,-6.5257,154.0903,10,5,mb,,60,3.009,0.66,us,us10005fn9,2016-05-07T03:06:06.425Z,"155km W of Panguna, Papua New Guinea",earthquake,8.3,1.9,0.062,89,reviewed,us,us
2016-05-07T02:24:33.118Z,38.6626,-118.7819,8.7,0.8,ml,8,160.11,0.206,0.1488,nn,nn00543191,2016-05-07T03:10:31.181Z,"20km NW of Hawthorne, Nevada",earthquake,,3.4,0.46,6,reviewed,nn,nn
2016-05-07T02:20:07.000Z,59.4156,-152.9301,71.9,2,ml,,,,0.34,ak,ak13523903,2016-05-07T02:55:49.393Z,"73km WSW of Anchor Point, Alaska",earthquake,1.6,0.9,,,automatic,ak,ak
