
2017-02-22:	File should be downloaded. HOUR= 5	Downloaded file for today	Already downloaded the file for today	
2017-02-22:	File should be downloaded. HOUR= 12	[Error 183] Cannot create a file when that file already exists	
2017-02-22:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
2017-02-22:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
2017-02-22:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
2017-02-22:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
2017-02-22:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
2017-02-22:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
2017-02-22:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
2017-02-22:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
2017-02-22:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
2017-02-23:	File should be downloaded. HOUR= 0	Downloaded file for today	Already downloaded the file for today	
2017-02-23:	File should be downloaded. HOUR= 12	[Error 183] Cannot create a file when that file already exists	
2017-02-23:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
2017-02-23:	File should be downloaded. HOUR= 15	[Error 183] Cannot create a file when that file already exists	
